size,stride,ns
4096,4,-19501953125.000000
4096,8,117187500.000000
4096,16,224609375.000000
4096,32,156250000.000000
4096,64,185546875.000000
4096,128,195312500.000000
4096,256,458984375.000000
4096,512,449218750.000000
4096,1024,185546875.000000
4096,2048,68359375.000000
8192,4,-253906250.000000
8192,8,229492187.500000
8192,16,371093750.000000
8192,32,205078125.000000
8192,64,297851562.500000
8192,128,117187500.000000
8192,256,219726562.500000
8192,512,87890625.000000
8192,1024,864257812.500000
8192,2048,336914062.500000
8192,4096,131835937.500000
16384,4,-305175781.250000
16384,8,349121093.750000
16384,16,-83007812.500000
16384,32,251464843.750000
16384,64,273437500.000000
16384,128,363769531.250000
16384,256,400390625.000000
16384,512,388183593.750000
16384,1024,166015625.000000
16384,2048,307617187.500000
16384,4096,283203125.000000
16384,8192,363769531.250000
32768,4,-308837890.625000
32768,8,279541015.625000
32768,16,104980468.750000
32768,32,191650390.625000
32768,64,959472656.250000
32768,128,175781250.000000
32768,256,1032714843.750000
32768,512,267333984.375000
32768,1024,240478515.625000
32768,2048,375976562.500000
32768,4096,714111328.125000
32768,8192,283203125.000000
32768,16384,378417968.750000
65536,4,-78125000.000000
65536,8,188598632.812500
65536,16,279541015.625000
65536,32,427246093.750000
65536,64,291137695.312500
65536,128,1400756835.937500
65536,256,1292724609.375000
65536,512,1497802734.375000
65536,1024,3009643554.687500
65536,2048,2418212890.625000
65536,4096,3568725585.937500
65536,8192,755004882.812500
65536,16384,322875976.562500
65536,32768,266113281.250000
131072,4,-464782714.843750
131072,8,364379882.812500
131072,16,285949707.031250
131072,32,339660644.531250
131072,64,581970214.843750
131072,128,981445312.500000
131072,256,1378784179.687500
131072,512,2162475585.937500
131072,1024,2362670898.437500
131072,2048,5491638183.593750
131072,4096,4164123535.156250
131072,8192,3731384277.343750
131072,16384,1029052734.375000
131072,32768,197753906.250000
131072,65536,-89111328.125000
262144,4,-326690673.828125
262144,8,303039550.781250
262144,16,493164062.500000
262144,32,327606201.171875
262144,64,835723876.953125
262144,128,1428375244.140625
262144,256,1239929199.218750
262144,512,2894897460.937500
262144,1024,3984832763.671875
262144,2048,3376464843.750000
262144,4096,4495239257.812500
262144,8192,4457092285.156250
262144,16384,5346527099.609375
262144,32768,1403808593.750000
262144,65536,506439208.984375
262144,131072,324401855.468750
524288,4,-359191894.531250
524288,8,-804290771.484375
524288,16,224838256.835938
524288,32,545730590.820312
524288,64,1584548950.195312
524288,128,3436355590.820312
524288,256,3635406494.140625
524288,512,4525146484.375000
524288,1024,5086822509.765625
524288,2048,6299667358.398438
524288,4096,5345764160.156250
524288,8192,8424301147.460938
524288,16384,5779266357.421875
524288,32768,7214889526.367188
524288,65536,1413116455.078125
524288,131072,426559448.242188
524288,262144,-98876953.125000
1048576,4,-301780700.683594
1048576,8,121726989.746094
1048576,16,-3958740234.375000
1048576,32,1076889038.085938
1048576,64,3663063049.316406
1048576,128,-17435493469.238281
1048576,256,9443817138.671875
1048576,512,200767517.089844
1048576,1024,11173744201.660156
1048576,2048,8092308044.433594
1048576,4096,10712318420.410156
1048576,8192,5462150573.730469
1048576,16384,7327537536.621094
1048576,32768,6481399536.132812
1048576,65536,6289634704.589844
1048576,131072,885620117.187500
1048576,262144,273971557.617188
1048576,524288,510902404.785156
2097152,4,-352859497.070312
2097152,8,628261566.162109
2097152,16,-2833480834.960938
2097152,32,3748435974.121094
2097152,64,10973510742.187500
2097152,128,4290199279.785156
2097152,256,14754447937.011719
2097152,512,4691143035.888672
2097152,1024,6787414550.781250
2097152,2048,6316471099.853516
2097152,4096,5762290954.589844
2097152,8192,5697517395.019531
2097152,16384,5801124572.753906
2097152,32768,6241149902.343750
2097152,65536,10269870758.056641
2097152,131072,7157096862.792969
2097152,262144,1744537353.515625
2097152,524288,7290344238.281250
2097152,1048576,339431762.695312
4194304,4,23975372.314453
4194304,8,60710906.982422
4194304,16,1303052902.221680
4194304,32,2262239456.176758
4194304,64,4194288253.784180
4194304,128,5094242095.947266
4194304,256,6281709671.020508
4194304,512,6155681610.107422
4194304,1024,12061557769.775391
4194304,2048,11453104019.165039
4194304,4096,14996747970.581055
4194304,8192,9202451705.932617
4194304,16384,7097768783.569336
4194304,32768,8809709548.950195
4194304,65536,10948162078.857422
4194304,131072,8889026641.845703
4194304,262144,7559471130.371094
4194304,524288,2274465560.913086
4194304,1048576,7357110977.172852
4194304,2097152,-83112716.674805
8388608,4,105566978.454590
8388608,8,850701332.092285
8388608,16,1112694740.295410
8388608,32,2417974472.045898
8388608,64,5951271057.128906
8388608,128,7622346878.051758
